Name,Overall_Rating,Cuisine,Rate for two,City,Review
Seven Lakes Cafe And Restaurant,3.7,"Cafe, Beverages, North Indian, Healthy Food, Mexican, Italian, Chinese, Desserts","1,300",udaipur,"If you're looking for a breathtaking view of the lake, look no further than the best rooftop restaurant. This restaurant offers a stunning view of the lake and surrounding area, making it a perfect place to enjoy a meal or night out. The food and service are top-notch, making it an experience you won't soon forget. Whether you're looking for a romantic night out or a fun night with friends, this is the place for you.The real star of the show is the sunset,setting sun gives the lake an otherworldly look as it dances across the water's surface Don't miss out on this magical experience!"
Oven The Bakery & Cafe   ,3.9,"Cafe, Coffee, Sandwich, Fast Food, Waffle, Desserts, Shake, Beverages",750,udaipur,"Tasty food, nice place to chill with friends "
Off White,3.4,"Cafe, Coffee, Tea, Shake, Beverages, Sandwich, Pizza, Fast Food",650,udaipur,"Cute little white themed cafe, the space is very cosy and rates are reasonable too, must visit this picturesque location."
Off White,3.4,"Cafe, Coffee, Tea, Shake, Beverages, Sandwich, Pizza, Fast Food",650,udaipur,This cafe is amazing and well organized...The food is amazing...music on your choice....Owner is very friendly...best thing books are already there so you can read and enjoy the ambiance and peace
Gulaabo - The Customized Cafe,3.5,"Cafe, Coffee, Fast Food, Beverages",500,udaipur,"Good food. Staff isn't very familiar with the menu, but good taste. Coffee wasn't anything special but well made. Reliable taste. "
Gulaabo - The Customized Cafe,3.5,"Cafe, Coffee, Fast Food, Beverages",500,udaipur,"Not enough varieties available,Even basic cafe food is also not available Out of very short menu also a major menu part buns were not available Not worth "
Gulaabo - The Customized Cafe,3.5,"Cafe, Coffee, Fast Food, Beverages",500,udaipur,"What a vibe ! Best words to describe the cafe . Awesome and many types of seating available outdoor as well as indoor . With a younger crowd which builds up as the evening approaches. The food service is quick. Scan the QR code and order through the phone. Ordered brownie shake which was thick and tasted good , cosmo tasted perfect as it should , the nachos were loaded with cheese and the pizza was actual cheese burst with a sweeter sauce in base . Must try while in the area and preferred duringPost afternoon / evening time to have the complete experience "
Cafe Cook Hook,4,"Cafe, Coffee, Tea, Beverages, Sandwich, Pizza, Fast Food, South Indian",700,udaipur,tast sbse bekar he pav jale hue diye
Cafe Cook Hook,4,"Cafe, Coffee, Tea, Beverages, Sandwich, Pizza, Fast Food, South Indian",700,udaipur,no test over masala n it's too spicy 
Cafe Cook Hook,4,"Cafe, Coffee, Tea, Beverages, Sandwich, Pizza, Fast Food, South Indian",700,udaipur,worst experience
Z27 By Cafe Lake City,3.1,"Cafe, Chinese, Sandwich, Pizza, Pasta, Fast Food, Desserts, Beverages",800,udaipur,A never to visit place in udaipur
Z27 By Cafe Lake City,3.1,"Cafe, Chinese, Sandwich, Pizza, Pasta, Fast Food, Desserts, Beverages",800,udaipur,I could say the worst restaurant in town. Always baised. Worst food and worst cakes. 
Z27 By Cafe Lake City,3.1,"Cafe, Chinese, Sandwich, Pizza, Pasta, Fast Food, Desserts, Beverages",800,udaipur,Had tried this place earlier it was fine but today I ordered hot and spicy pizza which came like this so cold nd tasteless and packing was so bad. 
The Tick Tock Cafe & Restaurant,3.7,"Cafe, North Indian, Chinese, Sandwich, Fast Food, Desserts, Shake, Beverages",600,udaipur,too much Schezwan sauce and noodles not cooked properly 
The Tick Tock Cafe & Restaurant,3.7,"Cafe, North Indian, Chinese, Sandwich, Fast Food, Desserts, Shake, Beverages",600,udaipur,Pizza was ultimate in taste. panner chilly is also. Crispy corn is yummy
The Tick Tock Cafe & Restaurant,3.7,"Cafe, North Indian, Chinese, Sandwich, Fast Food, Desserts, Shake, Beverages",600,udaipur,delicious food
Step 51 Rooftop Cafe,3.3,"Cafe, Pizza, Sandwich, Fast Food, Ice Cream, Desserts, Shake, Beverages",600,udaipur,"Had ordered sizzling brownie wid ice cream... When someone mention sizzling brownie in their menu, what you get is ur brownie to b served on a hot sizzling platter. 😑 But as this is not possible to be served via a delivey order, so u should correct your delivery menu and change it to normal brownie rather than the sizzling brownie. This was d biggest dissapointmnt coz at the price 💰of sizzling brownie wat u get is a normal brownie n scoop of ice cream 😣First of all talking about the packaging it was too good.. Brownie was packed in a separate box and vanilla ice cream in a separate cup. The ice cream was stiff till delivered nd not melted.Now talking about the taste- it was...read more"
Step 51 Rooftop Cafe,3.3,"Cafe, Pizza, Sandwich, Fast Food, Ice Cream, Desserts, Shake, Beverages",600,udaipur,Dont u guys know how to make a frikkin maggi????
Barista Coffee,4.1,"Cafe, Coffee, Desserts",700,jaipur,choco chip muffin was spoiled and wet.zomato didnt even issue any refund for thisworst response ever
Camiano Patisserie & Brasserie,4.5,"Cafe, Coffee, Bakery, Sandwich, Italian, Healthy Food, Fast Food","1,100",jaipur,It seemed quite stale and the taste wasn’t good. As compared to the last time I tasted.
Oven The Bakery & Cafe   ,4,"Cafe, North Indian, Italian, Chinese, Fast Food, Desserts, Beverages","1,200",jaipur," A gastronomic adventure that left me spellbound. The Paneer Lababdar and Chilli Olive Kulcha were simply outstanding. The staff's professionalism and cooperative attitude enhanced the overall charm. The ambience strikes the perfect balance between elegance and comfort, creating a delightful setting for an unforgettable evening."
Oven The Bakery & Cafe   ,4,"Cafe, North Indian, Italian, Chinese, Fast Food, Desserts, Beverages","1,200",jaipur," This restaurant is a true gem in the culinary world. The Chicken Fried Rice and Veg Chilli Garlic Noodles were a burst of flavors. The staff's warmth and efficient service made the evening truly special. The ambience is inviting, with comfortable seating that sets the stage for a wonderful dining experience."
Oven The Bakery & Cafe   ,4,"Cafe, North Indian, Italian, Chinese, Fast Food, Desserts, Beverages","1,200",jaipur," Prepare to be amazed by the culinary delights at this restaurant. The Soya Chilli Chicken and Mushroom Do Pyaza were a symphony of flavors. The staff's friendliness and cooperative nature added to the overall charm. The ambience is inviting, with an elegant touch that enhances the dining journey."
Oven The Bakery & Cafe   ,4,"Cafe, North Indian, Italian, Chinese, Fast Food, Desserts, Beverages","1,200",jaipur," An evening at this restaurant is a journey into taste and elegance. The Chilli Jalapeno Chicken Tikka and Veggie and Cheese Slider were a gastronomic delight. The staff's attentiveness and prompt service made the evening even more enjoyable. The ambience strikes the perfect balance between sophistication and comfort, creating a perfect spot for a memorable dining experience."
